lane,family,variant,dataset,axis,value,n_components,seed,raag_version,allocation_status,allocation_quotable,allocation_degenerate,branch_quotable,allocation_coherence,allocation_perplexity_mean,reachability_survival,edge_survival,separation_survival,branch_knn_mean_r2,mixture_effective_components,softmax_coordinate_coherence,softmax_coordinate_perplexity
topic-transformer,Topic,transformer,setty,alpha,0.1,10,0,RAAG-v2-exact-20260921,degenerate,False,True,False,,1.0000000033272252,1.0,0.42271960384758656,0.6430410360430644,,nan,,
topic-transformer,Topic,transformer,setty,alpha,0.5,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.8142642755415453,1.1588882084902596,1.0,0.26751348700843425,0.6380870650647527,-0.10269374489757688,nan,,
topic-transformer,Topic,transformer,setty,alpha,1.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.8217127051496569,1.6297667041850668,0.8413363028953229,0.28288880803358785,0.7066234982056483,0.20175862078936987,nan,,
topic-transformer,Topic,transformer,setty,alpha,2.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.8013493235267337,2.3881659427915545,1.0,0.2592395943959217,0.6237322515212982,-0.2808237511341757,nan,,
topic-transformer,Topic,transformer,setty,alpha,5.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.7731743727068925,5.327508136627842,1.0,0.22301658587602952,0.5475893275081916,0.03490444822041647,nan,,
topic-transformer,Topic,transformer,setty,control,0.0,10,0,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6408727099715069,0.9407083788422531,0.475544134251303,nan,0.807766105674029,8.9166067911974
topic-transformer,Topic,transformer,setty,alpha,0.1,10,1,RAAG-v2-exact-20260921,degenerate,False,True,False,,1.0000000152974342,1.0,0.47004277356771945,0.7487517553440475,,nan,,
topic-transformer,Topic,transformer,setty,alpha,0.5,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.8114321468382408,1.1990991301120026,1.0,0.2968128916706485,0.6613356217818692,0.1589877776826804,nan,,
topic-transformer,Topic,transformer,setty,alpha,1.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.8158414022284554,1.6088128195871163,0.8376639445681762,0.2905237985099083,0.7120065532844437,0.37697818395967253,nan,,
topic-transformer,Topic,transformer,setty,alpha,2.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.8125996365108903,2.457816951979203,1.0,0.26611067930826315,0.6234591980028086,0.1570936899978472,nan,,
topic-transformer,Topic,transformer,setty,alpha,5.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.7630178146858113,5.126742083434724,1.0,0.23937101719446843,0.529684818224372,0.20336585266336585,nan,,
topic-transformer,Topic,transformer,setty,control,0.0,10,1,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6510489149317783,0.9086831018879701,0.8142471373201199,nan,0.8363753324314325,8.695798042859387
topic-transformer,Topic,transformer,setty,alpha,0.1,10,2,RAAG-v2-exact-20260921,degenerate,False,True,False,,1.0000000083659446,1.0,0.388269539571058,0.612342019035731,,nan,,
topic-transformer,Topic,transformer,setty,alpha,0.5,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.8213591845883158,1.198583778544472,0.8376639445681762,0.3056518578345028,0.7224606022780465,0.2342229281197087,nan,,
topic-transformer,Topic,transformer,setty,alpha,1.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.7986232234174295,1.7576446809415975,0.8376639445681762,0.3900526876222005,0.7242939616164769,0.4552039478013919,nan,,
topic-transformer,Topic,transformer,setty,alpha,2.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.8171030358103829,2.577649595237103,0.8376639445681762,0.27272026861973114,0.7068965517241379,0.22881415389058496,nan,,
topic-transformer,Topic,transformer,setty,alpha,5.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.7712768848412394,4.742823012365125,1.0,0.24233686646242822,0.5291387111873928,-0.16985499416435185,nan,,
topic-transformer,Topic,transformer,setty,control,0.0,10,2,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6352248077302308,0.8728740833203308,0.6921362373987192,nan,0.8249142909413723,8.839771659923727
topic-transformer,Topic,transformer,endo,alpha,0.1,10,0,RAAG-v2-exact-20260921,valid,False,False,True,,1.0577636140662012,1.0,0.4488118704952466,0.7429901105293776,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,0.5,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.921119129433789,1.314577523901951,1.0,0.5154481478310906,0.8667830133798721,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,1.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.9344767844728641,1.7978506232050542,1.0,0.49859935334370614,0.8272251308900523,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,2.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.9031126935360059,4.052377317335996,1.0,0.549118618387816,0.9990692262943572,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,5.0,10,0,RAAG-v2-exact-20260921,valid,True,False,True,0.8018194126480859,8.202080330946144,1.0,0.5295451265141169,0.9093659104130308,nan,nan,,
topic-transformer,Topic,transformer,endo,control,0.0,10,0,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6839939379808813,1.0,nan,nan,0.8159903725972129,9.064171691328351
topic-transformer,Topic,transformer,endo,alpha,0.1,10,1,RAAG-v2-exact-20260921,valid,False,False,True,,1.065741263600014,0.5509324492333195,0.4707185602149464,0.997673065735893,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,0.5,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.9104355710734944,1.3257128964104994,1.0,0.5351747013381426,1.0,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,1.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.7849628260086493,2.2687814045040446,1.0,0.5414916325093523,0.9867364746945899,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,2.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.7184710521491738,4.191953365547685,1.0,0.5544049646113064,0.99173938336242,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,5.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.8398572888628124,7.916813493499019,1.0,0.5543207783123848,1.0,nan,nan,,
topic-transformer,Topic,transformer,endo,control,0.0,10,1,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6875184580710344,1.0,nan,nan,0.8411662589275668,8.911962056786871
topic-transformer,Topic,transformer,endo,alpha,0.1,10,2,RAAG-v2-exact-20260921,valid,False,False,True,,1.138106278841902,0.5213427268959802,0.47664446509165553,1.0,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,0.5,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.8890625888820369,1.5286311948670082,1.0,0.5514258082659808,0.9997673065735893,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,1.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.9454698272864152,1.7139655880218223,1.0,0.44520811663501364,0.8020942408376963,nan,nan,,
topic-transformer,Topic,transformer,endo,alpha,2.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.8263987482011578,3.7671199155691646,1.0,0.5039203439238412,0.8408376963350785,nan,nan,,
