lock,dataset,axis,value,n_components,kl_weight,variant,seed,allocation_coherence,allocation_perplexity_mean,allocation_degenerate,edge_survival,separation_survival,reachability_survival,branch_knn_mean_r2,branch_distance_spearman
topic-transformer-prior-20260907,setty,alpha,0.1,10,,transformer,0,,1.0000000033272252,True,0.42271960384758656,0.6430410360430644,1.0,,0.416105039202815
topic-transformer-prior-20260907,setty,alpha,0.5,10,,transformer,0,0.8142642755415453,1.1588882084902596,False,0.26751348700843425,0.6380870650647527,1.0,-0.10269374489757688,0.4212977530574932
topic-transformer-prior-20260907,setty,alpha,1.0,10,,transformer,0,0.8217127051496569,1.6297667041850668,False,0.28288880803358785,0.7066234982056483,0.8413363028953229,0.20175862078936987,0.4250147566633056
topic-transformer-prior-20260907,setty,alpha,2.0,10,,transformer,0,0.8013493235267337,2.3881659427915545,False,0.2592395943959217,0.6237322515212982,1.0,-0.2808237511341757,0.4423102614804696
topic-transformer-prior-20260907,setty,alpha,5.0,10,,transformer,0,0.7731743727068925,5.327508136627842,False,0.22301658587602952,0.5475893275081916,1.0,0.03490444822041647,0.4023069491502749
topic-transformer-prior-20260907,setty,control,0.0,10,,transformer,0,,,False,0.6408727099715069,0.9407083788422531,1.0,0.475544134251303,0.6215378089327134
topic-transformer-prior-20260907,setty,alpha,0.1,10,,transformer,1,,1.0000000152974342,True,0.47004277356771945,0.7487517553440475,1.0,,0.42552058748243676
topic-transformer-prior-20260907,setty,alpha,0.5,10,,transformer,1,0.8114321468382408,1.1990991301120026,False,0.2968128916706485,0.6613356217818692,1.0,0.1589877776826804,0.38608109528003615
topic-transformer-prior-20260907,setty,alpha,1.0,10,,transformer,1,0.8158414022284554,1.6088128195871163,False,0.2905237985099083,0.7120065532844437,0.8376639445681762,0.37697818395967253,0.41908181455458604
topic-transformer-prior-20260907,setty,alpha,2.0,10,,transformer,1,0.8125996365108903,2.457816951979203,False,0.26611067930826315,0.6234591980028086,1.0,0.1570936899978472,0.44127676920612174
topic-transformer-prior-20260907,setty,alpha,5.0,10,,transformer,1,0.7630178146858113,5.126742083434724,False,0.23937101719446843,0.529684818224372,1.0,0.20336585266336585,0.37454085808215415
topic-transformer-prior-20260907,setty,control,0.0,10,,transformer,1,,,False,0.6510489149317783,0.9086831018879701,1.0,0.8142471373201199,0.6364931373049478
topic-transformer-prior-20260907,setty,alpha,0.1,10,,transformer,2,,1.0000000083659446,True,0.388269539571058,0.612342019035731,1.0,,0.4227474843518538
topic-transformer-prior-20260907,setty,alpha,0.5,10,,transformer,2,0.8213591845883158,1.198583778544472,False,0.3056518578345028,0.7224606022780465,0.8376639445681762,0.2342229281197087,0.4051827973407023
topic-transformer-prior-20260907,setty,alpha,1.0,10,,transformer,2,0.7986232234174295,1.7576446809415975,False,0.3900526876222005,0.7242939616164769,0.8376639445681762,0.4552039478013919,0.5147033435691946
topic-transformer-prior-20260907,setty,alpha,2.0,10,,transformer,2,0.8171030358103829,2.577649595237103,False,0.27272026861973114,0.7068965517241379,0.8376639445681762,0.22881415389058496,0.44888942320322645
topic-transformer-prior-20260907,setty,alpha,5.0,10,,transformer,2,0.7712768848412394,4.742823012365125,False,0.24233686646242822,0.5291387111873928,1.0,-0.16985499416435185,0.4091511698180494
topic-transformer-prior-20260907,setty,control,0.0,10,,transformer,2,,,False,0.6352248077302308,0.8728740833203308,1.0,0.6921362373987192,0.5979358385350931
topic-transformer-prior-20260907,endo,alpha,0.1,10,,transformer,0,,1.0577636140662012,False,0.4488118704952466,0.7429901105293776,1.0,,
topic-transformer-prior-20260907,endo,alpha,0.5,10,,transformer,0,0.921119129433789,1.314577523901951,False,0.5154481478310906,0.8667830133798721,1.0,,
topic-transformer-prior-20260907,endo,alpha,1.0,10,,transformer,0,0.9344767844728641,1.7978506232050542,False,0.49859935334370614,0.8272251308900523,1.0,,
topic-transformer-prior-20260907,endo,alpha,2.0,10,,transformer,0,0.9031126935360059,4.052377317335996,False,0.549118618387816,0.9990692262943572,1.0,,
topic-transformer-prior-20260907,endo,alpha,5.0,10,,transformer,0,0.8018194126480859,8.202080330946144,False,0.5295451265141169,0.9093659104130308,1.0,,
topic-transformer-prior-20260907,endo,control,0.0,10,,transformer,0,,,False,0.6839939379808813,1.0,1.0,,
topic-transformer-prior-20260907,endo,alpha,0.1,10,,transformer,1,,1.065741263600014,False,0.4707185602149464,0.997673065735893,0.5509324492333195,,
topic-transformer-prior-20260907,endo,alpha,0.5,10,,transformer,1,0.9104355710734944,1.3257128964104994,False,0.5351747013381426,1.0,1.0,,
topic-transformer-prior-20260907,endo,alpha,1.0,10,,transformer,1,0.7849628260086493,2.2687814045040446,False,0.5414916325093523,0.9867364746945899,1.0,,
topic-transformer-prior-20260907,endo,alpha,2.0,10,,transformer,1,0.7184710521491738,4.191953365547685,False,0.5544049646113064,0.99173938336242,1.0,,
topic-transformer-prior-20260907,endo,alpha,5.0,10,,transformer,1,0.8398572888628124,7.916813493499019,False,0.5543207783123848,1.0,1.0,,
topic-transformer-prior-20260907,endo,control,0.0,10,,transformer,1,,,False,0.6875184580710344,1.0,1.0,,
topic-transformer-prior-20260907,endo,alpha,0.1,10,,transformer,2,,1.138106278841902,False,0.47664446509165553,1.0,0.5213427268959802,,
topic-transformer-prior-20260907,endo,alpha,0.5,10,,transformer,2,0.8890625888820369,1.5286311948670082,False,0.5514258082659808,0.9997673065735893,1.0,,
topic-transformer-prior-20260907,endo,alpha,1.0,10,,transformer,2,0.9454698272864152,1.7139655880218223,False,0.44520811663501364,0.8020942408376963,1.0,,
topic-transformer-prior-20260907,endo,alpha,2.0,10,,transformer,2,0.8263987482011578,3.7671199155691646,False,0.5039203439238412,0.8408376963350785,1.0,,
topic-transformer-prior-20260907,endo,alpha,5.0,10,,transformer,2,0.799222096980509,7.878964382052955,False,0.49432957718688664,0.9532286212914485,1.0,,
topic-transformer-prior-20260907,endo,control,0.0,10,,transformer,2,,,False,0.7002836714074764,1.0,1.0,,
topic-transformer-prior-20260907,dentate,alpha,0.1,10,,transformer,0,0.9580455970703196,1.06669461799439,False,0.4653009402188047,0.8221330161562097,1.0,,
topic-transformer-prior-20260907,dentate,alpha,0.5,10,,transformer,0,0.9514167618804242,1.1771208113081104,False,0.4031855966022875,0.8061254831995243,1.0,,
topic-transformer-prior-20260907,dentate,alpha,1.0,10,,transformer,0,0.945217280662629,1.7103455047071736,False,0.4020209566566722,0.8102388740212112,1.0,,
topic-transformer-prior-20260907,dentate,alpha,2.0,10,,transformer,0,0.9477873649220876,2.6881897127064724,False,0.40587821471560187,0.7891267717315888,1.0,,
topic-transformer-prior-20260907,dentate,alpha,5.0,10,,transformer,0,0.9407399234834323,5.502225091021347,False,0.4008481849522363,0.7252948756070968,1.0,,
topic-transformer-prior-20260907,dentate,control,0.0,10,,transformer,0,,,False,0.7148252990450116,0.8970661116067004,1.0,,
topic-transformer-prior-20260907,dentate,alpha,0.1,10,,transformer,1,0.9277720558838037,1.557121965674891,False,0.41619576775037814,0.9088115769650114,1.0,,
topic-transformer-prior-20260907,dentate,alpha,0.5,10,,transformer,1,0.9515548886506956,1.2375523631327618,False,0.4121909389868768,0.7807513133115274,1.0,,
topic-transformer-prior-20260907,dentate,alpha,1.0,10,,transformer,1,0.9422566210819777,1.718014257969126,False,0.4171652186057082,0.8076122509663991,1.0,,
