x,y,label,lane,dose,seed
4.7093,12.056709,0,topic-transformer,alpha=1,2
5.6254025,7.0518517,4,topic-transformer,alpha=1,2
10.670498,6.572502,0,topic-transformer,alpha=1,2
5.804894,11.721499,0,topic-transformer,alpha=1,2
5.552055,6.9783587,2,topic-transformer,alpha=1,2
10.514505,5.450239,7,topic-transformer,alpha=1,2
7.1579223,11.591811,7,topic-transformer,alpha=1,2
8.2770195,7.6157556,5,topic-transformer,alpha=1,2
-7.993645,8.82297,1,topic-transformer,alpha=1,2
-7.9760633,8.844934,1,topic-transformer,alpha=1,2
1.5129678,8.169151,8,topic-transformer,alpha=1,2
7.6662602,11.149603,7,topic-transformer,alpha=1,2
4.927122,12.202668,5,topic-transformer,alpha=1,2
0.8164332,8.039259,6,topic-transformer,alpha=1,2
-2.8769884,3.9423265,4,topic-transformer,alpha=1,2
13.125786,1.8619176,9,topic-transformer,alpha=1,2
-0.60298425,4.9895253,2,topic-transformer,alpha=1,2
-0.9669175,4.9551563,2,topic-transformer,alpha=1,2
0.8180522,7.7528043,8,topic-transformer,alpha=1,2
4.2356386,11.747773,5,topic-transformer,alpha=1,2
1.5678247,8.348895,8,topic-transformer,alpha=1,2
9.754113,8.052984,0,topic-transformer,alpha=1,2
6.6947894,12.249999,7,topic-transformer,alpha=1,2
13.863685,1.5883504,9,topic-transformer,alpha=1,2
-3.5097847,3.844564,4,topic-transformer,alpha=1,2
0.76753503,7.7230244,2,topic-transformer,alpha=1,2
2.056897,9.2905245,7,topic-transformer,alpha=1,2
7.2730713,7.4768395,4,topic-transformer,alpha=1,2
10.396228,7.144138,5,topic-transformer,alpha=1,2
2.302883,9.600175,7,topic-transformer,alpha=1,2
7.0614247,11.864776,7,topic-transformer,alpha=1,2
5.590624,12.612505,7,topic-transformer,alpha=1,2
10.794318,5.151969,0,topic-transformer,alpha=1,2
10.12846,7.6353416,0,topic-transformer,alpha=1,2
6.4915495,11.495248,0,topic-transformer,alpha=1,2
-2.4203403,4.5246487,2,topic-transformer,alpha=1,2
2.999909,10.027731,8,topic-transformer,alpha=1,2
11.44397,3.2070098,9,topic-transformer,alpha=1,2
3.277739,11.018051,5,topic-transformer,alpha=1,2
-2.6079752,3.915562,4,topic-transformer,alpha=1,2
4.019818,11.512508,7,topic-transformer,alpha=1,2
9.592022,6.2101784,6,topic-transformer,alpha=1,2
5.7447667,7.152201,2,topic-transformer,alpha=1,2
5.4153075,12.083893,0,topic-transformer,alpha=1,2
10.440061,5.484666,5,topic-transformer,alpha=1,2
0.76540583,7.8453445,2,topic-transformer,alpha=1,2
9.388251,7.422602,0,topic-transformer,alpha=1,2
11.371209,3.900439,6,topic-transformer,alpha=1,2
9.568193,7.204518,0,topic-transformer,alpha=1,2
-3.1449366,3.8796706,4,topic-transformer,alpha=1,2
11.561469,3.67149,6,topic-transformer,alpha=1,2
7.7627625,7.533576,5,topic-transformer,alpha=1,2
9.970625,7.185344,5,topic-transformer,alpha=1,2
6.7986236,8.034387,5,topic-transformer,alpha=1,2
4.9545846,12.383386,7,topic-transformer,alpha=1,2
11.421949,4.0516706,6,topic-transformer,alpha=1,2
11.7027235,3.6296911,6,topic-transformer,alpha=1,2
-3.8688436,3.9185748,4,topic-transformer,alpha=1,2
-2.088854,4.1188755,4,topic-transformer,alpha=1,2
7.7154045,11.031806,0,topic-transformer,alpha=1,2
9.518451,6.348332,6,topic-transformer,alpha=1,2
-0.745908,5.047521,2,topic-transformer,alpha=1,2
-2.2173128,4.058619,4,topic-transformer,alpha=1,2
6.2348332,12.350189,0,topic-transformer,alpha=1,2
-1.0566361,4.7236786,4,topic-transformer,alpha=1,2
5.5013704,12.604827,7,topic-transformer,alpha=1,2
10.11654,7.4803376,0,topic-transformer,alpha=1,2
11.729757,3.7737696,6,topic-transformer,alpha=1,2
6.4662213,12.409444,0,topic-transformer,alpha=1,2
-3.6227162,3.8355513,4,topic-transformer,alpha=1,2
12.333152,2.3485768,9,topic-transformer,alpha=1,2
1.6057429,6.7551174,8,topic-transformer,alpha=1,2
4.585531,11.950008,7,topic-transformer,alpha=1,2
-7.999374,8.823594,1,topic-transformer,alpha=1,2
-7.8391113,9.79611,1,topic-transformer,alpha=1,2
4.0450096,11.202356,0,topic-transformer,alpha=1,2
13.647682,1.7026215,9,topic-transformer,alpha=1,2
13.316251,1.7584064,9,topic-transformer,alpha=1,2
6.506959,12.4609585,5,topic-transformer,alpha=1,2
-0.26304528,5.2378464,2,topic-transformer,alpha=1,2
4.179588,11.704512,7,topic-transformer,alpha=1,2
0.76602244,-1.3356522,3,topic-transformer,alpha=1,2
-3.7776244,3.8515046,4,topic-transformer,alpha=1,2
6.6233397,12.277412,7,topic-transformer,alpha=1,2
10.725392,5.107154,0,topic-transformer,alpha=1,2
0.78568596,7.9565644,3,topic-transformer,alpha=1,2
10.447423,6.143492,0,topic-transformer,alpha=1,2
