x,y,label,lane,dose,seed
9.958952,3.0333827,0,topic-transformer,control,2
10.378397,-3.7125714,4,topic-transformer,control,2
12.031956,3.1956112,0,topic-transformer,control,2
9.645346,3.6892753,0,topic-transformer,control,2
9.835553,0.6996524,2,topic-transformer,control,2
9.7752905,6.5585766,7,topic-transformer,control,2
9.055536,7.9209757,7,topic-transformer,control,2
10.826753,-4.457205,5,topic-transformer,control,2
-3.4240742,10.949657,1,topic-transformer,control,2
-3.6258655,11.724457,1,topic-transformer,control,2
7.827895,7.8216314,8,topic-transformer,control,2
7.984343,10.256394,7,topic-transformer,control,2
11.483551,-4.193516,5,topic-transformer,control,2
13.526642,5.1364965,6,topic-transformer,control,2
10.214871,-1.8624948,4,topic-transformer,control,2
13.46793,2.9034984,9,topic-transformer,control,2
10.008169,0.6213671,2,topic-transformer,control,2
9.70312,0.6626248,2,topic-transformer,control,2
6.790006,6.125719,8,topic-transformer,control,2
11.529623,-4.3379626,5,topic-transformer,control,2
8.008343,9.233633,8,topic-transformer,control,2
9.719735,6.287349,0,topic-transformer,control,2
9.091429,9.213275,7,topic-transformer,control,2
13.63245,3.0970159,9,topic-transformer,control,2
8.710468,-4.6152606,4,topic-transformer,control,2
10.903863,0.95060617,2,topic-transformer,control,2
9.128177,8.511548,7,topic-transformer,control,2
10.445781,-4.5799336,4,topic-transformer,control,2
11.514351,-4.3570905,5,topic-transformer,control,2
9.673688,7.610976,7,topic-transformer,control,2
9.341422,7.792527,7,topic-transformer,control,2
8.106774,9.220479,7,topic-transformer,control,2
10.732645,3.684418,0,topic-transformer,control,2
10.60858,3.910572,0,topic-transformer,control,2
11.183846,4.0233245,0,topic-transformer,control,2
10.5317335,0.5232694,2,topic-transformer,control,2
9.598294,3.6170132,8,topic-transformer,control,2
13.213524,4.1020384,9,topic-transformer,control,2
10.751172,-2.6725183,5,topic-transformer,control,2
8.6939125,-4.5713844,4,topic-transformer,control,2
9.720951,7.3938484,7,topic-transformer,control,2
11.391823,1.9803538,6,topic-transformer,control,2
10.891554,1.4649513,2,topic-transformer,control,2
9.9033165,4.1364284,0,topic-transformer,control,2
11.207492,-4.476491,5,topic-transformer,control,2
10.968859,1.2499961,2,topic-transformer,control,2
9.556345,3.183507,0,topic-transformer,control,2
11.377731,2.1065354,6,topic-transformer,control,2
9.359141,4.6574287,0,topic-transformer,control,2
10.298547,-1.6983654,4,topic-transformer,control,2
13.2929535,4.5176854,6,topic-transformer,control,2
10.604765,-4.35657,5,topic-transformer,control,2
9.360786,4.7410626,5,topic-transformer,control,2
10.615076,-3.8634756,5,topic-transformer,control,2
8.680116,9.306491,7,topic-transformer,control,2
12.650566,3.720859,6,topic-transformer,control,2
13.918254,4.9503517,6,topic-transformer,control,2
9.081796,-4.1171207,4,topic-transformer,control,2
9.496426,-4.213734,4,topic-transformer,control,2
9.63281,2.6152995,0,topic-transformer,control,2
11.234464,1.9830805,6,topic-transformer,control,2
10.160833,0.023822287,2,topic-transformer,control,2
10.328512,-1.8533586,4,topic-transformer,control,2
9.643397,6.2664804,0,topic-transformer,control,2
8.861756,-4.6460557,4,topic-transformer,control,2
8.443089,10.355572,7,topic-transformer,control,2
9.405653,4.513968,0,topic-transformer,control,2
14.106354,5.014819,6,topic-transformer,control,2
9.376239,4.6602073,0,topic-transformer,control,2
10.175434,-2.0221448,4,topic-transformer,control,2
12.995804,3.9419167,9,topic-transformer,control,2
9.512126,3.9883137,8,topic-transformer,control,2
9.376912,4.684003,7,topic-transformer,control,2
-3.4228506,10.466223,1,topic-transformer,control,2
-3.6332858,11.723208,1,topic-transformer,control,2
9.612341,5.9493165,0,topic-transformer,control,2
13.164385,2.657623,9,topic-transformer,control,2
13.899888,4.028962,9,topic-transformer,control,2
10.891439,-3.1595235,5,topic-transformer,control,2
10.1738825,0.3315216,2,topic-transformer,control,2
8.673139,9.829569,7,topic-transformer,control,2
10.895016,0.99239105,3,topic-transformer,control,2
9.2373495,-4.013275,4,topic-transformer,control,2
7.9988074,9.945569,7,topic-transformer,control,2
10.825007,3.297198,0,topic-transformer,control,2
6.8951063,6.087921,3,topic-transformer,control,2
12.114533,3.8608537,0,topic-transformer,control,2
9.652836,3.8564293,8,topic-transformer,control,2
8.63482,-4.703278,4,topic-transformer,control,2
13.745887,3.2252905,9,topic-transformer,control,2
8.447555,10.322773,7,topic-transformer,control,2
13.835111,5.183492,6,topic-transformer,control,2
10.665496,2.5983443,0,topic-transformer,control,2
13.770368,3.24318,9,topic-transformer,control,2
7.3120995,6.814289,8,topic-transformer,control,2
10.875139,-3.5986202,5,topic-transformer,control,2
-3.3439076,10.318361,1,topic-transformer,control,2
13.634179,5.1639833,6,topic-transformer,control,2
7.2642217,6.8761106,8,topic-transformer,control,2
12.258252,3.6707802,9,topic-transformer,control,2
9.688566,0.9478972,2,topic-transformer,control,2
-3.6219263,11.746344,1,topic-transformer,control,2
8.856208,-4.6252933,4,topic-transformer,control,2
7.896055,9.939511,7,topic-transformer,control,2
9.167189,7.983824,7,topic-transformer,control,2
12.111984,3.104059,9,topic-transformer,control,2
13.87338,4.4061255,9,topic-transformer,control,2
10.498533,3.0306304,0,topic-transformer,control,2
13.761809,4.816606,6,topic-transformer,control,2
7.2281113,6.7771835,8,topic-transformer,control,2
10.013523,5.9918337,7,topic-transformer,control,2
-3.3747022,10.294747,1,topic-transformer,control,2
13.818218,5.140297,6,topic-transformer,control,2
13.264681,5.111134,6,topic-transformer,control,2
9.642979,3.0590923,0,topic-transformer,control,2
14.179099,4.9148245,9,topic-transformer,control,2
11.626503,2.0032802,6,topic-transformer,control,2
11.486104,-3.9964218,5,topic-transformer,control,2
8.247342,9.09116,7,topic-transformer,control,2
9.479919,7.0422096,7,topic-transformer,control,2
10.748139,-4.8940177,5,topic-transformer,control,2
7.41041,7.1082244,8,topic-transformer,control,2
9.846743,3.98129,0,topic-transformer,control,2
9.3937845,6.826626,7,topic-transformer,control,2
11.511275,1.9221675,6,topic-transformer,control,2
9.695203,7.271521,7,topic-transformer,control,2
13.935374,3.9468021,9,topic-transformer,control,2
13.797852,5.226747,6,topic-transformer,control,2
7.245493,6.700005,8,topic-transformer,control,2
8.974536,7.8652544,7,topic-transformer,control,2
10.131651,-0.05872919,2,topic-transformer,control,2
9.563388,3.6833851,8,topic-transformer,control,2
12.031253,2.863977,9,topic-transformer,control,2
9.614081,1.9855338,2,topic-transformer,control,2
13.45379,3.0025074,9,topic-transformer,control,2
9.257395,9.11203,7,topic-transformer,control,2
8.06161,10.852376,7,topic-transformer,control,2
9.7473345,6.441346,7,topic-transformer,control,2
8.462833,9.372613,7,topic-transformer,control,2
8.568548,10.595897,7,topic-transformer,control,2
10.814489,-3.100314,5,topic-transformer,control,2
7.982447,11.052401,7,topic-transformer,control,2
11.093426,-3.64187,5,topic-transformer,control,2
8.857782,-4.567913,4,topic-transformer,control,2
12.231446,3.348414,9,topic-transformer,control,2
9.592654,-4.097553,4,topic-transformer,control,2
